RECORD_CREATION_DATE,MONTO_DEL_PRESTAMO,RANGO_DEL_CREDITO,DEUDA_EXISTENTE,NOTAS_DEL_AGENTE,UBICACION_DE_LA_OFICINA,PRESTAMO_INCUMPLIDO
15Dec2014:17:14:34.000000,2500,740-759,"$1-$10,000","Ingreso anual neto: $73,300",OREGON,FALSO
15Dec2014:17:43:51.000000,2800,720-739,,,SOUTHERN CALIFORNIA,FALSO
15Dec2014:18:10:26.000000,11300,760-779,,,ARIZONA,FALSO
15Dec2014:18:43:37.000000,3300,760-779,"$60,001-$70,000","Ingreso mensual neto 9,860",NORTHERN CALIFORNIA,VERDADERO
15Dec2014:18:56:24.000000,6500,720-739,,"Ingreso anual neto: $63,200",ARIZONA,FALSO
16Dec2014:09:12:36.000000,5100,760-779,"$30,001-$40,000","Ingreso mensual neto 2,840",NEVADA,FALSO
16Dec2014:09:31:36.000000,3700,700-719,"$20,001-$30,000","Ingreso mensual neto 1,680",ARIZONA,FALSO
16Dec2014:10:00:44.000000,9900,700-719,"$40,001-$50,000",,SOUTHERN CALIFORNIA,FALSO
16Dec2014:10:28:11.000000,2500,780-799,"$30,001-$40,000",,NORTHERN CALIFORNIA,FALSO
16Dec2014:10:42:34.000000,4400,700-719,"$50,001-$60,000",,SOUTHERN CALIFORNIA,FALSO
16Dec2014:10:54:15.000000,3500,740-759,"$60,001-$70,000","Ingreso mensual neto 2,230",NEVADA,VERDADERO
16Dec2014:11:23:21.000000,2500,740-759,,El cliente no tiene deuda,OREGON,FALSO
16Dec2014:11:52:25.000000,4100,720-739,"$10,001-$20,000","Ingreso anual neto: $29,300",SOUTHERN CALIFORNIA,FALSO
16Dec2014:12:25:53.000000,2500,700-719,"$50,001-$60,000",,SOUTHERN CALIFORNIA,FALSO
16Dec2014:12:42:40.000000,5400,800+,,"Ingreso mensual neto 1,250...El cliente no tiene deuda",NORTHERN CALIFORNIA,FALSO
16Dec2014:12:56:55.000000,2500,780-799,"$100,000+","Ingreso anual neto: $134,700",ARIZONA,VERDADERO
16Dec2014:13:05:55.000000,3100,780-799,,"Ingreso anual neto: $154,600",SOUTHERN CALIFORNIA,FALSO
16Dec2014:13:37:49.000000,2500,780-799,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
16Dec2014:13:59:04.000000,11200,700-719,,,ARIZONA,FALSO
16Dec2014:14:08:48.000000,2500,700-719,"$100,000+",,ARIZONA,VERDADERO
16Dec2014:14:26:12.000000,7800,780-799,"$30,001-$40,000","Ingreso mensual neto 1,820",SOUTHERN CALIFORNIA,FALSO
16Dec2014:14:49:38.000000,20700,780-799,"$30,001-$40,000","Ingreso anual neto: $38,600",ARIZONA,FALSO
16Dec2014:15:04:42.000000,10800,720-739,"$10,001-$20,000","Ingreso anual neto: $200,000",ARIZONA,FALSO
16Dec2014:15:25:48.000000,2500,800+,"$30,001-$40,000",,NORTHERN CALIFORNIA,FALSO
16Dec2014:15:39:21.000000,4700,740-759,"$1-$10,000",Pagos mensuales de deuda verificados: $40,ARIZONA,FALSO
16Dec2014:16:10:11.000000,4700,700-719,"$30,001-$40,000","Ingreso anual neto: $15,300",NORTHERN CALIFORNIA,FALSO
16Dec2014:16:42:39.000000,2500,700-719,,El cliente no tiene deuda,SOUTHERN CALIFORNIA,FALSO
16Dec2014:17:05:23.000000,2500,700-719,"$10,001-$20,000","Ingreso anual neto: $15,000",OREGON,FALSO
16Dec2014:17:22:55.000000,2500,780-799,"$10,001-$20,000","Ingreso mensual neto 1,950...Pagos mensuales de deuda verificados: $270",SOUTHERN CALIFORNIA,FALSO
16Dec2014:17:49:28.000000,13500,700-719,"$1-$10,000","Ingreso mensual neto 1,250",NORTHERN CALIFORNIA,FALSO
16Dec2014:18:03:22.000000,2500,780-799,,"Ingreso mensual neto 1,250",OREGON,FALSO
16Dec2014:18:26:01.000000,35000,700-719,"$10,001-$20,000","Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
16Dec2014:18:58:09.000000,8000,780-799,"$100,000+",,ARIZONA,VERDADERO
17Dec2014:09:22:52.000000,2500,760-779,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
17Dec2014:09:28:42.000000,5200,700-719,"$40,001-$50,000","Ingreso anual neto: $36,000",NEVADA,FALSO
17Dec2014:09:54:37.000000,2500,760-779,"$20,001-$30,000",Pagos mensuales de deuda verificados: $390,OREGON,FALSO
17Dec2014:10:03:21.000000,20100,720-739,"$10,001-$20,000","Ingreso anual neto: $16,500",WASHINGTON STATE,FALSO
17Dec2014:10:31:27.000000,3600,760-779,"$1-$10,000",Pagos mensuales de deuda verificados: $20,ARIZONA,FALSO
17Dec2014:10:56:50.000000,2500,760-779,"$80,001-$90,000",,SOUTHERN CALIFORNIA,FALSO
17Dec2014:11:21:21.000000,9700,700-719,,,OREGON,VERDADERO
17Dec2014:11:50:48.000000,2800,720-739,"$1-$10,000",,NEVADA,FALSO
17Dec2014:12:03:38.000000,5000,740-759,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
17Dec2014:12:12:25.000000,3800,740-759,"$1-$10,000",Pagos mensuales de deuda verificados: $0,WASHINGTON STATE,FALSO
17Dec2014:12:19:34.000000,6100,700-719,,"Ingreso anual neto: $188,800",ARIZONA,FALSO
17Dec2014:12:45:32.000000,6600,720-739,"$10,001-$20,000","Ingreso mensual neto 1,250",SOUTHERN CALIFORNIA,VERDADERO
17Dec2014:13:12:54.000000,5000,740-759,"$1-$10,000","Ingreso mensual neto 1,860...Pagos mensuales de deuda verificados: $120",NORTHERN CALIFORNIA,FALSO
17Dec2014:13:19:26.000000,2500,720-739,"$40,001-$50,000",,ARIZONA,FALSO
17Dec2014:13:40:02.000000,2500,700-719,"$20,001-$30,000",,SOUTHERN CALIFORNIA,FALSO
17Dec2014:14:12:27.000000,14600,740-759,,"Ingreso anual neto: $56,600",OREGON,FALSO
17Dec2014:14:21:41.000000,4000,700-719,"$20,001-$30,000","Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,VERDADERO
17Dec2014:14:40:10.000000,2500,720-739,"$40,001-$50,000",,ARIZONA,FALSO
17Dec2014:15:13:32.000000,2500,760-779,"$40,001-$50,000",Pagos mensuales de deuda verificados: $800,NEVADA,FALSO
17Dec2014:15:38:41.000000,4700,700-719,"$1-$10,000",,OREGON,FALSO
17Dec2014:16:02:26.000000,3200,780-799,"$1-$10,000","Ingreso mensual neto 1,250",OREGON,FALSO
17Dec2014:16:25:01.000000,2500,780-799,"$1-$10,000","Ingreso anual neto: $15,000",WASHINGTON STATE,FALSO
17Dec2014:16:37:31.000000,3200,780-799,"$90,001-$100,000",,NORTHERN CALIFORNIA,FALSO
17Dec2014:16:55:11.000000,2500,740-759,,"Ingreso anual neto: $27,200",SOUTHERN CALIFORNIA,FALSO
17Dec2014:17:21:05.000000,2500,740-759,,El cliente no tiene deuda,SOUTHERN CALIFORNIA,FALSO
17Dec2014:17:51:32.000000,3000,720-739,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
17Dec2014:18:16:49.000000,6000,700-719,"$50,001-$60,000",,NEVADA,FALSO
17Dec2014:18:37:51.000000,18000,740-759,"$90,001-$100,000","Ingreso mensual neto 11,580",OREGON,VERDADERO
18Dec2014:09:15:27.000000,14000,700-719,"$100,000+",,ARIZONA,VERDADERO
18Dec2014:09:22:55.000000,5700,720-739,,,NORTHERN CALIFORNIA,VERDADERO
18Dec2014:09:53:01.000000,2500,780-799,"$40,001-$50,000",Pagos mensuales de deuda verificados: $750,ARIZONA,FALSO
18Dec2014:10:11:38.000000,2500,780-799,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
18Dec2014:10:22:19.000000,11500,800+,"$100,000+",,ARIZONA,VERDADERO
18Dec2014:10:39:44.000000,5300,700-719,"$20,001-$30,000",,OREGON,FALSO
18Dec2014:10:54:20.000000,5200,780-799,,,OREGON,FALSO
18Dec2014:11:19:05.000000,2500,760-779,"$20,001-$30,000","Ingreso anual neto: $18,100",ARIZONA,FALSO
18Dec2014:11:35:32.000000,2500,700-719,"$60,001-$70,000","Ingreso anual neto: $29,900",ARIZONA,FALSO
18Dec2014:11:42:10.000000,2500,800+,"$20,001-$30,000","Ingreso mensual neto 2,360",SOUTHERN CALIFORNIA,FALSO
18Dec2014:12:04:01.000000,2500,800+,,"Ingreso anual neto: $23,300",NEVADA,FALSO
18Dec2014:12:10:45.000000,2500,740-759,"$20,001-$30,000","Ingreso anual neto: $129,000",NORTHERN CALIFORNIA,FALSO
18Dec2014:12:18:32.000000,20100,700-719,,,ARIZONA,FALSO
18Dec2014:12:35:58.000000,35000,780-799,"$100,000+","Ingreso mensual neto 16,670",NORTHERN CALIFORNIA,FALSO
18Dec2014:13:03:57.000000,2500,720-739,,"Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
18Dec2014:13:32:45.000000,2700,700-719,"$30,001-$40,000",,ARIZONA,FALSO
18Dec2014:14:00:42.000000,2800,760-779,"$60,001-$70,000","Ingreso anual neto: $39,000",SOUTHERN CALIFORNIA,FALSO
18Dec2014:14:22:37.000000,2500,700-719,"$1-$10,000","Ingreso mensual neto 1,250...Pagos mensuales de deuda verificados: $90",ARIZONA,FALSO
18Dec2014:14:38:00.000000,35000,800+,,,ARIZONA,FALSO
18Dec2014:15:10:09.000000,2500,740-759,"$80,001-$90,000","Ingreso anual neto: $200,000",ARIZONA,FALSO
18Dec2014:15:41:46.000000,3000,800+,"$1-$10,000",,OREGON,FALSO
18Dec2014:15:56:48.000000,15700,700-719,,El cliente no tiene deuda,NEVADA,FALSO
18Dec2014:16:10:41.000000,12000,760-779,"$10,001-$20,000","Ingreso anual neto: $26,200",SOUTHERN CALIFORNIA,FALSO
18Dec2014:16:24:13.000000,7800,800+,,"El cliente no tiene deuda...Ingreso anual neto: $32,700",SOUTHERN CALIFORNIA,FALSO
18Dec2014:16:31:59.000000,27800,740-759,"$40,001-$50,000",,SOUTHERN CALIFORNIA,VERDADERO
18Dec2014:17:04:43.000000,3900,700-719,"$1-$10,000","Ingreso anual neto: $15,900",WASHINGTON STATE,VERDADERO
18Dec2014:17:19:34.000000,9100,760-779,"$10,001-$20,000","Ingreso anual neto: $27,400",ARIZONA,FALSO
18Dec2014:17:39:42.000000,2500,740-759,"$30,001-$40,000",,NEVADA,FALSO
18Dec2014:17:59:01.000000,3600,780-799,"$30,001-$40,000","Ingreso anual neto: $80,900",ARIZONA,FALSO
18Dec2014:18:05:47.000000,20000,720-739,,"Ingreso anual neto: $184,600",NORTHERN CALIFORNIA,VERDADERO
18Dec2014:18:23:39.000000,5300,760-779,"$20,001-$30,000","Ingreso mensual neto 1,590",NEVADA,FALSO
18Dec2014:18:53:12.000000,2500,700-719,"$50,001-$60,000","Ingreso anual neto: $92,900",WASHINGTON STATE,FALSO
19Dec2014:09:16:44.000000,5100,800+,"$100,000+","Pagos mensuales de deuda verificados: $2,850",OREGON,FALSO
19Dec2014:09:31:16.000000,6200,780-799,"$40,001-$50,000","Ingreso mensual neto 3,880",WASHINGTON STATE,FALSO
19Dec2014:09:42:21.000000,6600,720-739,"$40,001-$50,000","Ingreso mensual neto 4,450",NORTHERN CALIFORNIA,FALSO
19Dec2014:09:49:21.000000,6500,700-719,"$100,000+",,OREGON,VERDADERO
19Dec2014:10:13:16.000000,2800,780-799,,El cliente no tiene deuda,NEVADA,FALSO
19Dec2014:10:33:45.000000,2500,740-759,"$30,001-$40,000","Ingreso mensual neto 4,000",SOUTHERN CALIFORNIA,FALSO
19Dec2014:10:55:34.000000,2700,800+,,,NEVADA,FALSO
19Dec2014:11:19:01.000000,2500,780-799,,,SOUTHERN CALIFORNIA,FALSO
19Dec2014:11:38:56.000000,2500,740-759,"$10,001-$20,000",Pagos mensuales de deuda verificados: $210,SOUTHERN CALIFORNIA,FALSO
19Dec2014:12:05:49.000000,6100,700-719,,"Ingreso mensual neto 2,370...El cliente no tiene deuda",ARIZONA,FALSO
19Dec2014:12:25:19.000000,2500,760-779,"$10,001-$20,000",,ARIZONA,VERDADERO
19Dec2014:12:33:53.000000,13700,720-739,"$10,001-$20,000",Pagos mensuales de deuda verificados: $180,NEVADA,FALSO
19Dec2014:12:46:37.000000,2500,760-779,"$1-$10,000","Ingreso anual neto: $15,000",WASHINGTON STATE,FALSO
19Dec2014:13:16:34.000000,7600,740-759,"$30,001-$40,000","Ingreso anual neto: $79,000",SOUTHERN CALIFORNIA,FALSO
19Dec2014:13:27:41.000000,2500,700-719,"$10,001-$20,000","Ingreso mensual neto 1,250",ARIZONA,FALSO
19Dec2014:13:34:51.000000,5200,760-779,"$10,001-$20,000","Ingreso mensual neto 1,440",NORTHERN CALIFORNIA,FALSO
19Dec2014:13:49:42.000000,2500,700-719,"$30,001-$40,000","Ingreso mensual neto 2,300",SOUTHERN CALIFORNIA,FALSO
19Dec2014:14:10:50.000000,4400,700-719,,"Ingreso anual neto: $152,400...El cliente no tiene deuda",NEVADA,FALSO
19Dec2014:14:38:52.000000,2500,700-719,"$1-$10,000",Pagos mensuales de deuda verificados: $120,OREGON,FALSO
19Dec2014:14:47:34.000000,3900,780-799,"$20,001-$30,000","Ingreso anual neto: $47,400",ARIZONA,FALSO
19Dec2014:15:00:17.000000,9800,760-779,,"Ingreso mensual neto 16,670",WASHINGTON STATE,FALSO
19Dec2014:15:29:45.000000,3000,760-779,"$40,001-$50,000","Ingreso mensual neto 8,840",SOUTHERN CALIFORNIA,FALSO
19Dec2014:15:49:01.000000,5900,700-719,"$1-$10,000","Ingreso mensual neto 1,280...Pagos mensuales de deuda verificados: $30",NORTHERN CALIFORNIA,FALSO
19Dec2014:16:19:00.000000,4800,800+,"$80,001-$90,000","Ingreso anual neto: $115,400",ARIZONA,FALSO
19Dec2014:16:45:24.000000,2500,800+,"$10,001-$20,000",,NORTHERN CALIFORNIA,VERDADERO
19Dec2014:17:07:05.000000,3500,800+,,,SOUTHERN CALIFORNIA,FALSO
19Dec2014:17:32:09.000000,2500,780-799,"$10,001-$20,000",,NORTHERN CALIFORNIA,FALSO
19Dec2014:18:02:28.000000,3800,780-799,"$20,001-$30,000","Ingreso mensual neto 2,490",SOUTHERN CALIFORNIA,FALSO
19Dec2014:18:21:54.000000,2500,760-779,"$10,001-$20,000",,ARIZONA,FALSO
19Dec2014:18:38:19.000000,2500,800+,,,ARIZONA,FALSO
19Dec2014:18:53:52.000000,2700,800+,,,SOUTHERN CALIFORNIA,FALSO
22Dec2014:09:14:34.000000,2500,740-759,"$40,001-$50,000","Ingreso anual neto: $26,400",ARIZONA,VERDADERO
22Dec2014:09:41:19.000000,21100,700-719,"$80,001-$90,000","Ingreso anual neto: $36,600",SOUTHERN CALIFORNIA,FALSO
22Dec2014:10:07:41.000000,4800,740-759,"$30,001-$40,000",,WASHINGTON STATE,FALSO
22Dec2014:10:29:41.000000,11300,740-759,,"El cliente no tiene deuda...Ingreso anual neto: $22,500",OREGON,FALSO
22Dec2014:10:40:03.000000,2500,740-759,,,WASHINGTON STATE,FALSO
22Dec2014:10:47:22.000000,4600,760-779,"$30,001-$40,000",,NORTHERN CALIFORNIA,FALSO
22Dec2014:11:02:37.000000,3600,720-739,"$100,000+",,SOUTHERN CALIFORNIA,FALSO
22Dec2014:11:24:02.000000,17500,720-739,"$30,001-$40,000",,WASHINGTON STATE,FALSO
22Dec2014:11:57:28.000000,3200,700-719,,,ARIZONA,FALSO
22Dec2014:12:28:38.000000,14400,800+,"$1-$10,000",,SOUTHERN CALIFORNIA,FALSO
22Dec2014:12:38:54.000000,8900,740-759,"$1-$10,000","Ingreso anual neto: $19,200...Pagos mensuales de deuda verificados: $90",OREGON,FALSO
22Dec2014:13:01:25.000000,2800,700-719,"$40,001-$50,000","Ingreso mensual neto 2,000...Pagos mensuales de deuda verificados: $770",ARIZONA,FALSO
22Dec2014:13:24:11.000000,2500,700-719,"$20,001-$30,000",,ARIZONA,VERDADERO
22Dec2014:13:42:45.000000,3000,700-719,"$30,001-$40,000","Ingreso anual neto: $22,700",NEVADA,FALSO
22Dec2014:14:13:53.000000,4000,760-779,"$20,001-$30,000",,NEVADA,FALSO
22Dec2014:14:37:11.000000,2500,760-779,"$10,001-$20,000","Ingreso anual neto: $49,900",OREGON,FALSO
22Dec2014:14:56:49.000000,7100,700-719,"$30,001-$40,000",,SOUTHERN CALIFORNIA,FALSO
22Dec2014:15:22:47.000000,2500,760-779,"$1-$10,000","Ingreso mensual neto 3,570",OREGON,FALSO
22Dec2014:15:48:36.000000,2500,760-779,"$100,000+",,SOUTHERN CALIFORNIA,VERDADERO
22Dec2014:16:09:19.000000,20600,760-779,"$1-$10,000",,NORTHERN CALIFORNIA,FALSO
22Dec2014:16:41:33.000000,5000,780-799,"$70,001-$80,000",,ARIZONA,FALSO
22Dec2014:16:48:24.000000,2500,700-719,"$40,001-$50,000","Ingreso mensual neto 4,480",SOUTHERN CALIFORNIA,FALSO
22Dec2014:17:13:51.000000,2700,740-759,,"Ingreso anual neto: $116,100",NEVADA,FALSO
22Dec2014:17:34:12.000000,4200,800+,"$10,001-$20,000","Ingreso anual neto: $31,600",NORTHERN CALIFORNIA,FALSO
22Dec2014:17:46:41.000000,3000,700-719,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
22Dec2014:18:18:48.000000,3300,700-719,"$50,001-$60,000","Ingreso mensual neto 4,130",ARIZONA,FALSO
22Dec2014:18:41:44.000000,4400,720-739,"$100,000+","Ingreso anual neto: $102,700",SOUTHERN CALIFORNIA,FALSO
23Dec2014:09:15:38.000000,2500,720-739,"$10,001-$20,000",,ARIZONA,FALSO
23Dec2014:09:48:25.000000,2600,700-719,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
23Dec2014:10:07:58.000000,19700,700-719,,"Ingreso anual neto: $33,600",NORTHERN CALIFORNIA,FALSO
23Dec2014:10:17:43.000000,5700,720-739,"$30,001-$40,000","Ingreso anual neto: $47,000",ARIZONA,FALSO
23Dec2014:10:32:24.000000,5800,760-779,,"Ingreso anual neto: $70,600",NORTHERN CALIFORNIA,VERDADERO
23Dec2014:10:50:01.000000,5100,800+,,,ARIZONA,FALSO
23Dec2014:11:03:31.000000,2500,700-719,"$1-$10,000",,OREGON,VERDADERO
23Dec2014:11:22:07.000000,10200,760-779,,El cliente no tiene deuda,NORTHERN CALIFORNIA,FALSO
23Dec2014:11:54:06.000000,7800,800+,"$100,000+","Ingreso anual neto: $175,600",NORTHERN CALIFORNIA,VERDADERO
23Dec2014:12:19:41.000000,5300,700-719,"$80,001-$90,000","Ingreso anual neto: $122,600",NEVADA,FALSO
23Dec2014:12:53:21.000000,5000,760-779,"$70,001-$80,000","Ingreso anual neto: $43,400",OREGON,FALSO
23Dec2014:13:18:11.000000,6900,740-759,,,NORTHERN CALIFORNIA,FALSO
23Dec2014:13:24:20.000000,2500,760-779,"$20,001-$30,000",,NORTHERN CALIFORNIA,FALSO
23Dec2014:13:54:29.000000,15600,740-759,"$70,001-$80,000",,SOUTHERN CALIFORNIA,FALSO
23Dec2014:14:19:24.000000,3200,740-759,"$20,001-$30,000",,NORTHERN CALIFORNIA,FALSO
23Dec2014:14:51:30.000000,3300,700-719,"$30,001-$40,000","Ingreso anual neto: $84,000",SOUTHERN CALIFORNIA,FALSO
23Dec2014:15:05:49.000000,12500,780-799,,,OREGON,FALSO
23Dec2014:15:15:17.000000,2500,700-719,,"Ingreso mensual neto 7,400",NORTHERN CALIFORNIA,VERDADERO
23Dec2014:15:29:42.000000,2500,740-759,"$1-$10,000","Ingreso anual neto: $18,600",SOUTHERN CALIFORNIA,FALSO
23Dec2014:15:50:14.000000,3400,720-739,"$50,001-$60,000","Ingreso anual neto: $38,800",NEVADA,FALSO
23Dec2014:16:10:56.000000,2500,740-759,"$1-$10,000","Ingreso anual neto: $15,000",NEVADA,FALSO
23Dec2014:16:31:02.000000,4700,740-759,"$80,001-$90,000","Ingreso anual neto: $83,400",NORTHERN CALIFORNIA,FALSO
23Dec2014:16:48:16.000000,35000,700-719,,"Ingreso mensual neto 7,600",SOUTHERN CALIFORNIA,FALSO
23Dec2014:17:14:43.000000,11800,760-779,"$1-$10,000","Ingreso anual neto: $33,300",OREGON,FALSO
23Dec2014:17:39:34.000000,2700,780-799,"$20,001-$30,000","Ingreso anual neto: $32,000",NEVADA,VERDADERO
23Dec2014:17:51:25.000000,7300,800+,,,ARIZONA,FALSO
23Dec2014:18:07:00.000000,2500,780-799,"$50,001-$60,000","Ingreso anual neto: $36,500",WASHINGTON STATE,FALSO
23Dec2014:18:34:07.000000,2600,700-719,"$1-$10,000","Ingreso mensual neto 1,670",ARIZONA,FALSO
23Dec2014:18:55:05.000000,2500,740-759,"$100,000+","Ingreso anual neto: $81,200",SOUTHERN CALIFORNIA,FALSO
24Dec2014:09:15:44.000000,10800,800+,,El cliente no tiene deuda,WASHINGTON STATE,FALSO
24Dec2014:09:42:25.000000,2500,760-779,"$40,001-$50,000",,NEVADA,VERDADERO
24Dec2014:09:49:11.000000,7600,700-719,"$1-$10,000","Ingreso mensual neto 1,250...Pagos mensuales de deuda verificados: $10",ARIZONA,VERDADERO
24Dec2014:10:16:11.000000,2500,760-779,"$30,001-$40,000",,ARIZONA,FALSO
24Dec2014:10:44:22.000000,3700,780-799,"$10,001-$20,000",,NORTHERN CALIFORNIA,FALSO
24Dec2014:10:53:36.000000,2500,740-759,"$40,001-$50,000",,ARIZONA,FALSO
24Dec2014:11:22:40.000000,2500,740-759,,,NORTHERN CALIFORNIA,FALSO
24Dec2014:11:53:32.000000,5300,740-759,"$1-$10,000",Pagos mensuales de deuda verificados: $160,WASHINGTON STATE,VERDADERO
24Dec2014:12:18:48.000000,10100,700-719,"$1-$10,000",,ARIZONA,FALSO
24Dec2014:12:51:02.000000,2500,720-739,"$20,001-$30,000","Ingreso anual neto: $15,000",WASHINGTON STATE,FALSO
24Dec2014:13:09:42.000000,6000,760-779,"$1-$10,000","Ingreso mensual neto 1,250",WASHINGTON STATE,FALSO
24Dec2014:13:20:19.000000,11400,740-759,"$1-$10,000",,OREGON,FALSO
24Dec2014:13:38:04.000000,2500,780-799,"$100,000+","Pagos mensuales de deuda verificados: $3,590",OREGON,FALSO
24Dec2014:13:44:13.000000,2500,780-799,"$100,000+",,WASHINGTON STATE,VERDADERO
24Dec2014:14:14:14.000000,6500,780-799,,,ARIZONA,FALSO
24Dec2014:14:31:37.000000,4700,740-759,"$40,001-$50,000",,SOUTHERN CALIFORNIA,VERDADERO
24Dec2014:14:59:26.000000,8400,800+,"$40,001-$50,000","Ingreso anual neto: $40,200",NORTHERN CALIFORNIA,FALSO
24Dec2014:15:25:22.000000,2700,760-779,"$1-$10,000","Ingreso mensual neto 1,250",WASHINGTON STATE,FALSO
24Dec2014:15:50:05.000000,6300,700-719,,El cliente no tiene deuda,SOUTHERN CALIFORNIA,FALSO
24Dec2014:16:05:35.000000,2500,700-719,,,ARIZONA,FALSO
24Dec2014:16:33:06.000000,13500,740-759,,"El cliente no tiene deuda...Ingreso anual neto: $200,000",OREGON,FALSO
24Dec2014:17:04:17.000000,8100,780-799,"$1-$10,000","Pagos mensuales de deuda verificados: $60...Ingreso anual neto: $15,000",SOUTHERN CALIFORNIA,FALSO
24Dec2014:17:16:07.000000,18400,740-759,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
24Dec2014:17:46:19.000000,2500,740-759,"$20,001-$30,000","Ingreso mensual neto 1,250",NORTHERN CALIFORNIA,FALSO
24Dec2014:18:12:04.000000,4100,740-759,"$40,001-$50,000","Pagos mensuales de deuda verificados: $730...Ingreso anual neto: $29,800",NORTHERN CALIFORNIA,FALSO
24Dec2014:18:46:02.000000,17100,780-799,"$50,001-$60,000",,ARIZONA,FALSO
25Dec2014:09:06:18.000000,2500,760-779,"$10,001-$20,000","Pagos mensuales de deuda verificados: $280...Ingreso anual neto: $19,100",OREGON,FALSO
25Dec2014:09:34:04.000000,2500,780-799,"$40,001-$50,000",,SOUTHERN CALIFORNIA,FALSO
25Dec2014:10:04:43.000000,2500,700-719,"$20,001-$30,000",,ARIZONA,FALSO
25Dec2014:10:17:16.000000,9000,780-799,"$10,001-$20,000",,NEVADA,FALSO
25Dec2014:10:23:50.000000,2800,720-739,"$10,001-$20,000",,NEVADA,FALSO
25Dec2014:10:46:11.000000,2500,700-719,"$1-$10,000","Ingreso mensual neto 1,250",OREGON,FALSO
25Dec2014:11:15:55.000000,2500,700-719,,,SOUTHERN CALIFORNIA,FALSO
25Dec2014:11:36:26.000000,9600,700-719,,"Ingreso mensual neto 3,520",NORTHERN CALIFORNIA,FALSO
25Dec2014:12:05:27.000000,2700,740-759,"$1-$10,000",,OREGON,VERDADERO
25Dec2014:12:12:03.000000,4700,700-719,"$10,001-$20,000",,SOUTHERN CALIFORNIA,FALSO
25Dec2014:12:39:02.000000,2500,700-719,"$100,000+","Ingreso anual neto: $173,300",ARIZONA,FALSO
25Dec2014:12:51:20.000000,2500,700-719,"$10,001-$20,000","Ingreso anual neto: $15,000",WASHINGTON STATE,FALSO
25Dec2014:13:08:18.000000,2500,740-759,"$50,001-$60,000",,NORTHERN CALIFORNIA,FALSO
25Dec2014:13:36:05.000000,2500,740-759,"$1-$10,000",,OREGON,VERDADERO
25Dec2014:13:45:09.000000,2500,780-799,,,SOUTHERN CALIFORNIA,VERDADERO
25Dec2014:14:03:54.000000,6000,700-719,"$70,001-$80,000",,SOUTHERN CALIFORNIA,FALSO
25Dec2014:14:37:41.000000,13000,780-799,"$20,001-$30,000",,ARIZONA,FALSO
25Dec2014:14:49:33.000000,3300,760-779,"$30,001-$40,000",,NEVADA,FALSO
25Dec2014:15:11:36.000000,2500,740-759,,"Ingreso anual neto: $15,000...El cliente no tiene deuda",SOUTHERN CALIFORNIA,FALSO
25Dec2014:15:28:35.000000,4700,780-799,,,NORTHERN CALIFORNIA,FALSO
25Dec2014:15:40:37.000000,2500,700-719,"$100,000+","Ingreso anual neto: $200,000",NORTHERN CALIFORNIA,VERDADERO
25Dec2014:15:59:28.000000,2500,700-719,,,NORTHERN CALIFORNIA,FALSO
25Dec2014:16:26:51.000000,3000,740-759,"$1-$10,000",,SOUTHERN CALIFORNIA,FALSO
25Dec2014:16:41:02.000000,3000,780-799,"$50,001-$60,000","Ingreso anual neto: $108,900",NORTHERN CALIFORNIA,FALSO
25Dec2014:16:49:56.000000,2700,740-759,"$1-$10,000",Pagos mensuales de deuda verificados: $40,ARIZONA,VERDADERO
25Dec2014:16:58:32.000000,14400,740-759,,"Ingreso anual neto: $51,100...El cliente no tiene deuda",SOUTHERN CALIFORNIA,FALSO
25Dec2014:17:06:32.000000,35000,780-799,"$80,001-$90,000","Ingreso anual neto: $200,000",SOUTHERN CALIFORNIA,FALSO
25Dec2014:17:16:12.000000,6800,780-799,"$20,001-$30,000","Ingreso anual neto: $17,800",NORTHERN CALIFORNIA,VERDADERO
25Dec2014:17:38:34.000000,2500,800+,"$1-$10,000","Ingreso mensual neto 1,250",SOUTHERN CALIFORNIA,FALSO
25Dec2014:18:04:01.000000,4300,700-719,,El cliente no tiene deuda,ARIZONA,FALSO
25Dec2014:18:37:55.000000,18200,700-719,"$10,001-$20,000","Ingreso anual neto: $15,000",NEVADA,FALSO
25Dec2014:18:56:24.000000,2500,700-719,"$50,001-$60,000",Pagos mensuales de deuda verificados: $870,ARIZONA,VERDADERO
26Dec2014:09:05:35.000000,3700,800+,,"Ingreso anual neto: $166,100",OREGON,FALSO
26Dec2014:09:38:56.000000,2500,740-759,"$30,001-$40,000","Ingreso anual neto: $31,500",ARIZONA,FALSO
